dni,name,wallet,private_key
dni1,programa10,0x82b416c66F6ff131733C1449fE5ED72Ac9D8801d,0xf5972c47ac3d0fcac87a3fa7a6b524e4614101af4688ce074671272e8bdcb831
dni2,programa11,0x9E24495186b9FEB59c1BF321E83D15d31F596665,0x71d7ad47f304c55b40a7b33db992528f5c08de5c27377d44c059c3cd9c977b22
dni3,programa12,0xAaFCce15781774b5B6c3b766715cF6293B3E8DAb,0xb7fec43e00da5ba86396e1e68412217da28e27c38c349ad5d9c1ecce6dc66ac0
dni4,programa13,0x8e381Ad7F66b7E0Db0B4d5E30eC1Db1F6f832a71,0x437d4e6c4682594cf4743eaf97f5eed6233a71b7dff3bac5d89bd52e676ba745
dni5,programa14,0x536351b12513EC1f5DEc98b41cbf4D4A093A6fce,0xc2bf5ea31471110ae5d55b26b87b687122121cb9e7d325107cfe9b0ddb534401
dni6,programa15,0x3e07EF19A78ec62479a26D90dEC7bb9459EaAfFd,0xe9c8f16ce7776f531c89be7425f461b085cebeccb3267d42fbda2df7df45ca6a
dni7,programa16,0xc2AC0F35153A8eaFdC2C233a92cCcd766BF51954,0x78f02e6db0905540b1c69499c2d7aace1fb670e96d9d48f73003933c8dc0b443
dni8,programa17,0x27d82F5ac84253E0A6577EE6D73d7E4a6F77F63c,0xbfbd423478aad51df30e44a5d132f54295ba12d92b92870ca14f1c97393b577f
dni9,programa18,0x39C1A1B517B581b4B8114f1128801F212759b9B8,0xc88ff4b88afce45328439269d37c45fb1abe891cb50e16cf7a36b40dedeb7de4
dni10,programa19,0xb4Ff089D2F160c044FCC47b2830C1590411c510c,0xac66547a13558c5bacf6727fb14addbd3adac2f25d5263d72b5c625d1db29f78
dni11,programa1,0x0454fc94B3079C3f23f3B1340F6A2c848686F425,0x5df9083e100fcc436d7040724c78ee0f5e541eefa357f6d87de17e582c40f10e
dni12,programa20,0x0E37F9F241818e0578747bC398E13557E6f519B5,0x0f0949ff171714a56af3f546020f32cdaec2e7f8ad4b15e70b6087d33596d7cc
dni13,programa21,0xE0c2d682E332731131457d2652a0BE77700d1fdb,0xdfcda98a1cc42159aa741d230329cf872c6c2e2370eb9cc8d724bb399bd4ee4b
dni14,programa22,0x03c49FbcE92bA70ef9C46E0e376802e7Fa131Df2,0x94b8945c76681cee71fb74a60ea7eec7c02979d9715d0b2411b540dd4997573c
dni15,programa23,0xA8abbE24c333a7d28aC62752494FA4bf55230545,0x3097f46c851a796c3d683074967959511d026dc4bb1ce9b52ac77b0c076ad2b9
dni16,programa24,0x3Df81F629D217E3da3a200943Cf4479dBE023079,0x3498070a65a4547b4e3a51fc61838da58c71df7bb4d16af91b2e2782c69c506d
dni17,programa25,0xE2b7a197A2E5954a0810Bd5c7c4536Db97103048,0x657820af1773c9a81ad6fea7e08ce44dbfafafa2bd0d1699b6fdf9c367a6def8
dni18,programa2,0xD7FAcfFe0328d0B9Cc4524c742C1bf8D49a5331D,0x9e72624f13977f7bb9dcb8074c108d92a99320d3b5306c604e695dd5ec11b7db
dni19,programa3,0x7B4F7047D5Af5A5CB764Ecc1CbBb34761DC973A6,0x88809f8e26f9d85bc7af3b52fb51ed2ba0ecbaf6f6f084a17f001a8b7a74b0a3
dni20,programa4,0xFd3745A5f042AB17835789B43920a58398A40cB5,0x6d817e2ad5140a0376513ab17916058d75ff5c3ff6077e56f4ddc2965581374f
dni21,programa5,0x5FeE1f17AAE2c5473415c5f3F9D069578eB37444,0xe094a6193640fa73e6e627627d8b3e1afb366cfb6a348b66215804448f5637ed
dni22,programa6,0x80f79753afe95954Cd8E261228302C4118CC72aa,0xeea937d59c26fbf4b10384e34a95d276e662455d6c70c95dc9268f54a44c448f
dni23,programa7,0x32cF1dA50212e45A03d968ce9e6E4e29AeAadB8E,0x2daf9f16aeb51a12d446207c2b40cf9e96fa1c196b844154741aa384410bd6a6
dni24,programa8,0xB1Dba3D322f90ED48e98Dcee23CdF530c54FA588,0x7eb52e9435dac3baefa91a1e57aca47c44d876b15074ff48f3cbf1ee9389e3e4
dni25,programa9,0xB20c69d7698FAD77D93B377082e4CECB1f3c7332,0x71fe79ef2cb3f6f65ab3d9945d1be5b8524d919f1a87779aa11586b0d022fd5a
