dni,name,wallet,private_key
dni1,name1,0x9dC6F1f71B065D6C3395e4d5957beCD75a4F44CC,0xcd0df7fd01a3872b6d1562ccea149d1d61db914a59aafa22d5e3c440f2a0ad3e
dni2,name2,0x7e22bbE806371b34ba5E6c2275F706d4cE822A69,0x90f91966b54d78149d3933ea2b5a30d0a1daa4563ce614862c03f86c64674a08
dni3,name3,0xF5f45D30Aa4B75B672882a159Ca566E2979fC7bC,0xb1210baaefc546c2de865d237f7401891143a7a57c507de57f9200376e2f837d
dni4,name4,0x6384efc226bC119E626Ca0A9811d69C6970c7413,0x3d201fd10a010448fa8bdb827cfa7c31ca729ce3f09db993de72e1c4044561ac
dni5,name5,0xAF07f13BE7d779bd9CC5EaCA3800B6e170d0A456,0x9b6b598841dd6a7665752252a93790533d85448ae96789b27d1df08ca67aaee5
dni6,name6,0xa7ceFb6E24Cb1fB9f7Df8380C5B798415211F7fc,0x095a33f4db44da3873ee49b24cc05e9873d3243d453b34269dc7b09ba5d990be
dni7,name7,0xf3DCF27bEf579A80B902BCb2e6ee5cc529163439,0x95bf083ec36c614a1a79b22570ce0f4b88b8986ae9773849c068d9df87400492
dni8,name8,0xEC896eC2677eB1A011D55d339040801Fa53874b4,0x648c9c79f4e98ce8a90d247671583a0d117f840105a271b5d0dd90319a27dac3
dni9,name9,0x53Ce4f2D2D373A93F1C0482740962dfBfed07a09,0x66c6a4fb001767317dc334bd927774b793ff534c2affeb705072280b47ce8339
dni10,name10,0x596049cBCab410783d9C7aC11910199E2A5bFDDF,0xf933638cd18f5cbe9be685fd9bd8835aeca4a49874d9527c6998ff5161337c99
dni11,name11,0x3d1C8b0c03Fa1e3FCd73A32885c8bA48439a873A,0x7fdb8248fa0ab62d18348e955934326f4d3e4385d2482df0ace1ba7f31e7422c
dni12,name12,0xEE614C476c531F9035C2644553A5Af7520217f33,0xc5a3334434e8223f6d231d03177906a09d0c1238afa7678256184a552eebbf94
dni13,name13,0x5AE8c946082DaE740094E0565851a700ba51874b,0x0a86e0ec018166aa50a25c068a261ed34e909940c1d88e14c2e11d1657e29ab6
dni14,name14,0x491496F65A811d84489840245f00F49ce0859272,0x70f5ce2bcc802d77710ce590dee606dca4d2018563aaeb82ca0a25abe3e53898
dni15,name15,0x7946180b8377e9d7A7bbEa1E0879830BCE9D0305,0x5934094b8d99d897429a12b295cf29c262695d97b1480f5c266339c613d8b281
dni16,name16,0x7C1722a23Af5Bc943c883f6b67f179e24393E0dc,0x2d04f302f7c45d518217e4a53fd7c11dfce6f238c6eafc6b659105c53db95900
dni17,name17,0xa15080E9BEdc0f0c110ea63Cd22C595C3Cd25CD4,0xbc358adbe360dd3bf7465422846fbc75037f1b51a8fa96f01eec583173b9f981
dni18,name18,0xa4197ed7928aEfA96Aa725c15D24Ec3b8359dbA4,0x664b332160b41d12e3c03a5e98644220979fd21cb6459a62fe6f82fdfa7fba85
dni19,name19,0x326404AfDA3e20CfCcA15e19371F3B8B6Dfec607,0x4c266075a3450e2c33cc588712485662e2841d83f9eb0916c7abe7b29933c122
dni20,name20,0x53C53C2e028B177834ac7E440d67295656C5A417,0xde70ba1fd3730c8d868782ab122d9e9c0ec3572c2ec33762bab15cff31de0d93
dni21,name21,0xE935B8e3357888f3B8F5E82f94684389Db8BAa3F,0xb35e864fcaf962f9864e2bd47c2124bcf9b05845a072aed7ce9c65a1b51e3b8b
dni22,name22,0xf98d70CEe026b83C043D10Bafb18aEe6D13633F1,0x72af5f42a2f8982d664a64701aeb5b118919789f6c34edf61fe832cf64debef7
dni23,name23,0xe4c2268F8BddaD0634364d05B36e140C1f4Ba601,0x441c7d0287a587db3ccd45f175177952feef5e1409f8de7c8056f0b40dd3bebe
dni24,name24,0xf58f6Fcc4b787189f30AfDfdc3F8d8290Ea6ae02,0x23bf2dd485e6399d9bd5f63f332fdffad017418e8a09194677afc1e601cfe2f2
dni25,name25,0xc0E34AA542e9767Fddb0299f966cA01f8568b787,0x5cebbfbfaebea6e51a88040c46cf68bf547c21262a1ff4b2e820323268c48050
